T,X
1,1
2,2
3,3
4,4
5,3
6,4
7,3
8,2
9,3
10,2
11,1
12,2
13,1
14,2
15,1
16,2
17,3
18,4
19,3
20,2
21,3
22,4
23,5
24,6
25,7
26,8
27,9
28,10
29,11
30,12
31,13
32,12
33,13
34,14
35,15
36,14
37,15
38,16
39,17
40,16
41,15
42,16
43,17
44,18
45,19
46,20
47,21
48,22
49,23
50,24
51,25
52,26
53,27
54,28
55,27
56,28
57,27
58,26
59,27
60,28
61,29
62,28
63,29
64,30
65,29
66,28
67,29
68,30
69,29
70,30
71,31
72,32
73,33
74,32
75,33
76,34
77,35
78,36
79,37
80,38
81,37
82,38
83,39
84,40
85,41
86,42
87,43
88,42
89,43
90,42
91,43
92,44
93,45
94,46
95,45
96,44
97,45
98,46
99,45
100,46
101,47
102,48
103,49
104,50
105,51
106,52
107,53
108,52
109,53
110,54
111,55
112,56
113,57
114,56
115,55
116,56
117,57
118,56
119,57
120,58
121,59
122,58
123,59
124,60
125,61
126,60
127,61
128,62
129,63
130,64
131,63
132,64
133,63
134,62
135,63
136,62
137,63
138,62
139,63
140,64
141,63
142,64
143,65
144,66
145,67
146,68
147,69
148,70
149,69
150,68
151,69
152,70
153,71
154,70
155,69
156,68
157,69
158,68
159,69
160,70
161,69
162,70
163,71
164,70
165,71
166,72
167,73
168,74
169,75
170,76
171,77
172,76
173,75
174,74
175,75
176,76
177,77
178,76
179,77
180,76
181,77
182,78
183,77
184,78
185,79
186,80
187,81
188,82
189,83
190,84
191,85
192,86
193,87
194,88
195,89
196,88
197,89
198,90
199,89
200,88
201,89
202,90
203,91
204,90
205,89
206,90
207,91
208,90
209,89
210,90
211,89
212,90
213,89
214,88
215,87
216,86
217,87
218,88
219,89
220,88
221,87
222,88
223,87
224,86
225,87
226,88
227,87
228,86
229,87
230,86
231,87
232,86
233,87
234,88
235,89
236,90
237,89
238,88
239,89
240,90
241,91
242,92
243,93
244,94
245,95
246,96
247,97
248,96
249,97
250,96
251,97
252,96
253,95
254,94
255,93
256,92
257,91
258,90
259,89
260,90
261,89
262,90
263,91
264,90
265,91
266,92
267,91
268,92
269,91
270,90
271,91
272,92
273,93
274,94
275,95
276,96
277,97
278,98
279,97
280,98
281,99
282,100
283,101
284,102
285,101
286,102
287,103
288,102
289,101
290,102
291,103
292,104
293,105
294,106
295,107
296,108
297,109
298,108
299,109
300,110
301,111
302,110
303,111
304,112
305,111
306,112
307,113
308,114
309,115
310,114
311,115
312,116
313,117
314,116
315,115
316,116
317,115
318,116
319,117
320,118
321,119
322,120
323,121
324,122
325,123
326,122
327,121
328,122
329,121
330,122
331,121
332,122
333,123
334,124
335,123
336,124
337,123
338,124
339,123
340,124
341,125
342,126
343,127
344,128
345,129
346,130
347,131
348,132
349,131
350,130
351,131
352,130
353,129
354,130
355,131
356,132
357,131
358,130
359,131
360,132
361,133
362,134
363,135
364,136
365,137
366,136
367,137
368,136
369,135
370,134
371,135
372,136
373,137
374,138
375,139
376,140
377,141
378,140
379,139
380,138
381,139
382,140
383,141
384,140
385,141
386,142
387,143
388,144
389,145
390,146
391,147
392,148
393,149
394,150
395,151
396,150
397,149
398,148
399,149
400,150
401,149
402,150
403,149
404,150
405,149
406,150
407,151
408,150
409,149
410,150
411,151
412,152
413,153
414,154
415,153
416,152
417,153
418,154
419,155
420,154
421,155
422,156
423,157
424,158
425,159
426,160
427,161
428,162
429,163
430,164
431,165
432,166
433,167
434,168
435,169
436,168
437,169
438,168
439,169
440,168
441,169
442,170
443,169
444,170
445,171
446,172
447,173
448,174
449,175
450,174
451,175
452,174
453,175
454,176
455,177
456,178
457,179
458,178
459,179
460,180
461,179
462,180
463,181
464,182
465,183
466,184
467,185
468,186
469,187
470,188
471,189
472,188
473,187
474,188
475,189
476,190
477,189
478,188
479,187
480,188
481,189
482,190
483,189
484,190
485,191
486,192
487,191
488,192
489,193
490,194
491,195
492,196
493,195
494,196
495,195
496,196
497,197
498,198
499,199
500,200
501,201
502,200
503,201
504,202
505,203
506,204
507,205
508,204
509,205
510,206
511,207
512,208
513,207
514,208
515,207
516,206
517,205
518,204
519,203
520,204
521,205
522,206
523,207
524,208
525,209
526,210
527,209
528,210
529,211
530,210
531,209
532,210
533,211
534,212
535,213
536,214
537,213
538,214
539,215
540,214
541,215
542,216
543,217
544,218
545,219
546,220
547,219
548,218
549,219
550,220
551,219
552,218
553,219
554,218
555,217
556,218
557,217
558,218
559,217
560,218
561,219
562,218
563,219
564,220
565,221
